Name,Brand,Body_Type,Condition,Transmission,Engine,Capacity,Price,Year_Manufactured
Saga,Proton,Sedan,New,MT,Standard 1.3L,5,33591,2018
Axia,Perodua,Hatchback,New,AT,SE 1.0L,5,37490,2018
saga,Proton,Sedan,New,CVT,Standard 1.3L,5,36343,2018
Axia,Perodua,Hatchback,New,AT,Advance 1.0L,5,40390,2018
Axia,Perodua,Hatchback,New,MT,SE 1.0L,5,35590,2018
Saga,Proton,Sedan,New,CVT,Executive 1.3L,5,39095,2018
Saga,Proton,Sedan,New,CVT,Premium 1.3L,5,41847,2018
Saga,Proton,Sedan,New,MT,Standard 1.3L,5,32800,2019
Saga,Proton,Sedan,New,AT,Standard 1.3L,5,35800,2019
Saga,Proton,Sedan,New,AT,Premium 1.3L,5,39800,2019
Axia,Perodua,Hatchback,new,MT,Standard  E 1.0,5,22990,2018
Saga,Proton,Sedan,New,AT,Standard 1.3L,5,34400,2022
Saga,Proton,Sedan,New,AT,Premium 1.3L,5,38300,2022
Saga,Proton,Sedan,New,AT,Premium1.3L,5,41300,2022
Saga,Proton,Sedan,New,AT,Premium S1.3L,5,44300,2022
Iriz,Proton,Hatchback,New,CVT,1.3 VVT Executive,5,44700,2019
Iriz,Proton,Hatchback,New,CVT,1.3 VVT Standard,5,39700,2019
Iriz,Proton,Hatchback,New,MT,1.3 VVT Standard,5,36700,2019
Iriz,Proton,Hatchback,New,CVT,1.6 VVT Executive,5,46700,2019
Iriz,Proton,Hatchback,New,CVT,1.6 VVT Premium,5,50700,2019
Iriz,Proton,Hatchback,New,CVT,1.3 VVT Standard,5,40300,2021
Iriz,Proton,Hatchback,New,CVT,1.6 VVT Executive,5,47100,2021
Iriz,Proton,Hatchback,New,CVT,1.6 Executive,5,47100,2021
Iriz,Proton,Hatchback,New,CVT,1.6 Active,5,54000,2021
Myvi,Perodua,Hatchback,New,MT,1.3 G,5,42790,2018
Myvi,Perodua,Hatchback,New,AT,1.3 G,5,44590,2018
Myvi,Perodua,Hatchback,New,AT,1.3 X,5,46590,2018
Myvi,Perodua,Hatchback,New,AT,1.5 H,5,50290,2018
Myvi,Perodua,Hatchback,New,AT,1.5 AV,5,54290,2018
Persona,Proton,Sedan,New,CVT,1.6 Premium,5,54600,2019
Persona,Proton,Sedan,New,CVT,1.6 Executive,5,49600,2019
Persona,Proton,Sedan,New,MT,1.6 Standard,5,42600,2019
Persona,Proton,Sedan,New,CVT,1.6 Premium,5,54900,2021
Persona,Proton,Sedan,New,CVT,1.6 Standard,5,45200,2021
Persona,Proton,Sedan,New,CVT,1.6 Executive ,5,50100,2021
Exora,Proton,MPV,New,CVT,1.6 Premium,7,66800,2019
Exora,Proton,MPV,New,CVT,1.6 Executive,7,59800,2019
X50,Proton,SUV,New,DCT,1.5T Flagship,5,103300,2020
X50,Proton,SUV,New,DCT,1.5T Premium,5,93200,2020
X50,Proton,SUV,New,DCT,1.5T Executive,5,84800,2020
X50,Proton,SUV,New,DCT,1.5T Standard,5,79200,2020
X70,Proton,SUV,New,AT,1.8TGDi Standard,5,99800,2018
X70,Proton,SUV,New,AT,1.8TGDi Premium,5,123800,2018
X70,Proton,SUV,New,AT,1.8 Standard,5,94800,2020
X70,Proton,SUV,New,AT,1.8 Executive,5,106800,2020
Perdana,Proton,Sedan,New,AT,2.4L,5,126849,2018
Perdana,Proton,Sedan,New,AT,2.0L,5,103927,2018
Alza,Perodua,MPV,New,AT,1.5 AV,7,60525,2018
Alza,Perodua,MPV,New,AT,1.5 S,7,52661,2018
Alza,Perodua,MPV,New,MT,1.5 S,7,49944,2018
Alza,Perodua,MPV,New,AT,1.5 SE,7,55186,2018
X70,Proton,SUV,New,AT,1.5TGDi Standard,5,93800,2022
X70,Proton,SUV,New,AT,1.5TGDi Executive,5,111300,2022
Ertiga,Proton,MPV,New,AT,1.4 Executive Plus,7,62278,2018
Ertiga,Proton,MPV,New,MT,1.4 Executive,7,56773,2018
Ativa ,Perodua,SUV,New,CVT,1.0L Turbo AV 2-Tonne,5,71700,2021
Ativa ,Perodua,SUV,New,CVT,1.0L Turbo AV Metallic,5,72000,2021
Ativa ,Perodua,SUV,New,CVT,1.0L Turbo AV,5,71200,2021
Ativa ,Perodua,SUV,New,CVT,1.0L  Turbo H,5,66100,2021
Ativa ,Perodua,SUV,New,CVT,1.0L Turbo X,5,61500,2021
Ativa ,Perodua,SUV,New,CVT,1.0L Turbo H Metallic,5,66600,2021
Aruz,Perodua,SUV,New,AT,Advance 1.0L,7,73226,2019
Aruz,Perodua,SUV,New,AT,1.5 X,7,72900,2019
Aruz,Perodua,SUV,New,AT,1.5 X,7,68526,2021
Aruz,Perodua,SUV,New,AT,1.5 AV,7,73226,2021
Bezza,Perodua,Sedan,New,AT,1.0 standard,5,36290,2018
Bezza,Perodua,Sedan,New,AT,1.3 Advanced,5,47790,2018
Bezza,Perodua,Sedan,New,AT,1.3 Premium,5,41890,2018
Bezza,Perodua,Sedan,New,MT,1.3 premium,5,40090,2018
Preve,Proton,Sedan,New,CVT,1.6T Premium CFE,5,71316,2017
Preve,Proton,Sedan,New,MT,1.6T Executive ,5,57832,2017
Preve,Proton,Sedan,New,CVT,1.6T Executive,5,60610,2017
Suprima S,Proton,Hatchback,New,CVT,1.6T Premium,5,73111,2018
